variable,region,기울기,p_value,sig,평균 대비 편차
주택매매가격지수,수영구,0.012903790361990866,2.4041264683472008e-06,1,0.08237524734901727
주택매매가격지수,중구,-0.40579510295147125,8.981835500021518e-06,1,-0.33632364596444486
주택매매가격지수,강서구,-0.08417012072182947,2.0576188958232322e-05,1,-0.014698663734803066
주택매매가격지수,금정구,-0.014456455504794949,0.0008226011563965407,1,0.05501500148223146
주택매매가격지수,남구,-0.012574509585045357,0.0016147584816379457,1,0.05689694740198105
주택매매가격지수,동구,-0.005496758787527131,0.0018616744990314071,1,0.06397469819949927
주택매매가격지수,서구,0.03530232798827557,0.0025545381158789127,1,0.10477378497530197
주택매매가격지수,해운대구,-0.03787143348386935,0.005447528140534397,1,0.031600023503157056
주택매매가격지수,북구,-0.13442137514805497,0.04102523984556905,1,-0.06494991816102856
주택매매가격지수,연제구,-0.05162169349308053,0.13904388703659532,0,0.017849763493945875
주택매매가격지수,사상구,-0.04566760529435949,0.1751783043025248,0,0.023803851692666918
주택매매가격지수,기장군,-0.10438598368924006,0.18735848645410513,0,-0.03491452670221365
주택매매가격지수,부산진구,-0.056964505611070006,0.24084754223583182,0,0.0125069513759564
주택매매가격지수,사하구,-0.05319613694808521,0.26540595200463013,0,0.016275320038941193
주택매매가격지수,영도구,-0.06494318426191073,0.3979986145487602,0,0.004528272725115676
주택매매가격지수,동래구,-0.08818456466235049,0.8723584758350575,0,-0.01871310767532408
주택월세가격지수,수영구,0.5146604547728522,0.0,1,0.3918496305605316
주택월세가격지수,동래구,0.14433395916734099,1.271298177840663e-09,1,0.021523134955020465
주택월세가격지수,기장군,-0.22274350503767204,1.0099791225570698e-08,1,-0.3455543292499926
주택월세가격지수,강서구,-0.1078898588198318,2.5407340231708986e-08,1,-0.23070068303215233
주택월세가격지수,북구,0.19216930493612577,3.6272033765660794e-05,1,0.06935848072380525
주택월세가격지수,연제구,0.055460364042900015,3.951924166023524e-05,1,-0.0673504601694205
주택월세가격지수,중구,2.0196514604541704,0.00039662272250762243,1,1.89684063624185
주택월세가격지수,사하구,0.037227159403219565,0.0026195153722303743,1,-0.08558366480910096
주택월세가격지수,남구,0.1046763578071518,0.005748388608138422,1,-0.01813446640516872
주택월세가격지수,동구,-0.46598781917594934,0.008641137434099555,1,-0.5887986433882698
주택월세가격지수,해운대구,-0.02529874534358953,0.011752585206695088,1,-0.14810956955591004
주택월세가격지수,금정구,-0.05963603414898637,0.12246301307382579,0,-0.1824468583613069
주택월세가격지수,영도구,0.1752823791189536,0.37043902274917784,0,0.05247155490663309
주택월세가격지수,사상구,-0.1296208303742044,0.4896377199796973,0,-0.25243165458652495
주택월세가격지수,부산진구,-0.13395409301904415,0.6461614703928564,0,-0.2567649172313647
주택월세가격지수,서구,-0.13335736638630835,0.7429724963717677,0,-0.2561681905986289
소비심리지수,기장군,-0.048177627412107044,0.0,1,-0.017904349225204466
소비심리지수,북구,-0.08913145063000505,0.0,1,-0.05885817244310247
소비심리지수,수영구,-0.08541745456743795,0.0,1,-0.05514417638053537
소비심리지수,서구,-0.07810275401207273,0.0,1,-0.04782947582517015
소비심리지수,연제구,-0.07748850805953995,0.0,1,-0.047215229872637376
소비심리지수,부산진구,-0.07136450877832544,1.5432100042289676e-13,1,-0.04109123059142286
소비심리지수,동구,-0.04084011151129025,9.050684031119971e-07,1,-0.010566833324387674
소비심리지수,금정구,-0.02781524415158084,5.366993260702557e-06,1,0.0024580340353217364
소비심리지수,사하구,-0.02539370442261904,3.0173210195716393e-05,1,0.004879573764283537
소비심리지수,남구,-0.015659613726741156,0.0031714927727830577,1,0.014613664460161421
소비심리지수,사상구,-0.015703867192556974,0.008916505632249327,1,0.014569410994345604
소비심리지수,해운대구,0.020817259782174313,0.07617275449929406,0,0.051090537969076893
소비심리지수,중구,0.03165992194637902,0.1947935800092817,0,0.061933200133281595
소비심리지수,영도구,0.022227738497885265,0.28611068815534035,0,0.05250101668478784
소비심리지수,강서구,0.008238632540309628,0.3015974430651416,0,0.038511910727212204
소비심리지수,동래구,0.0077788407070869935,0.958167037470484,0,0.03805211889398957
분양세대수_log,연제구,-0.1565285802774557,8.563816322748607e-12,1,-0.14894013585905028
분양세대수_log,서구,-0.11512242034092918,3.5274894116810174e-11,1,-0.10753397592252376
분양세대수_log,동래구,0.08320190253717231,0.00046368830397192085,1,0.09079034695557774
분양세대수_log,남구,-0.07755251414592303,0.0034567084552439287,1,-0.0699640697275176
분양세대수_log,금정구,-0.050307581872108764,0.014336397097795217,1,-0.04271913745370334
분양세대수_log,동구,-0.04716537491946972,0.030818250148848536,1,-0.0395769305010643
분양세대수_log,영도구,0.07474942096692438,0.037409298116892975,1,0.0823378653853298
분양세대수_log,중구,0.17052764474307258,0.04248690051020687,1,0.178116089161478
분양세대수_log,수영구,0.04946319686348362,0.07440077126500166,0,0.05705164128188904
분양세대수_log,사상구,-0.03594036847252338,0.08003183551240367,0,-0.028351924054117957
분양세대수_log,부산진구,-0.01019784836609286,0.4720971590240173,0,-0.002609403947687435
분양세대수_log,북구,-0.012583734007725712,0.4960206987603024,0,-0.004995289589320287
분양세대수_log,해운대구,-0.012231242348160334,0.5354129383484176,0,-0.004642797929754909
분양세대수_log,사하구,0.011344064411201983,0.7972409454249323,0,0.018932508829607408
분양세대수_log,강서구,0.0042206259513606105,0.8507572760618456,0,0.011809070369766035
분양세대수_log,기장군,0.002707698582686338,0.9609897065040833,0,0.010296143001091763
장단기금리차,금정구,0.3450499122538808,0.0,1,-0.29173066868001885
장단기금리차,기장군,1.2850340968117675,0.0,1,0.6482535158778678
장단기금리차,동구,-1.5797279018335795,0.0,1,-2.216508482767479
장단기금리차,부산진구,-1.2044031356324423,0.0,1,-1.8411837165663418
장단기금리차,연제구,-4.74344568145572,0.0,1,-5.38022626238962
장단기금리차,수영구,-1.7210317475804668,0.0,1,-2.3578123285143664
장단기금리차,서구,-2.1768618197328076,0.0,1,-2.813642400666707
장단기금리차,사하구,1.0602749086990855,0.0,1,0.4234943277651858
장단기금리차,북구,0.1006959371688394,6.661338147750939e-16,1,-0.5360846437650603
장단기금리차,사상구,0.9091013345899914,6.661338147750939e-16,1,0.27232075365609176
장단기금리차,영도구,1.3299188027448556,1.955509782991527e-07,1,0.693138221810956
장단기금리차,강서구,4.1532220706858105,2.8573627026684534e-06,1,3.516441489751911
장단기금리차,중구,2.4076437327521507,0.010982219999827292,1,1.7708631518182512
장단기금리차,동래구,3.1160395579170004,0.013370391493116918,1,2.479258976983101
장단기금리차,남구,3.134875572392118,0.030696349953526658,1,2.4980949914582182
장단기금리차,해운대구,3.772103655161912,0.17391788819442233,0,3.1353230742280123
건설업 주가지수,동래구,-0.1450474805236095,0.0,1,-0.28674361405107524
건설업 주가지수,강서구,0.7122190292651241,0.0,1,0.5705228957376585
건설업 주가지수,영도구,-1.3788841754478023,0.0,1,-1.520580308975268
건설업 주가지수,사상구,-0.23325751133162198,5.329070518200751e-15,1,-0.3749536448590877
건설업 주가지수,해운대구,0.12398891633107867,1.545652494883143e-12,1,-0.01770721719638707
건설업 주가지수,기장군,0.1659147805782949,1.2319608888589073e-08,1,0.024218647050829156
건설업 주가지수,중구,-0.7200721184650444,4.9025693726889585e-08,1,-0.8617682519925101
건설업 주가지수,사하구,0.07987367674185653,2.6725091561985437e-07,1,-0.061822456785609214
건설업 주가지수,부산진구,-0.13570010780985386,4.018988506437893e-07,1,-0.2773962413373196
건설업 주가지수,금정구,0.2222325647827122,2.029576173567804e-06,1,0.08053643125524645
건설업 주가지수,연제구,0.1286402947334334,4.750809327047634e-05,1,-0.013055838794032326
건설업 주가지수,남구,0.2771359611571716,0.0006519926541006527,1,0.13543982762970586
건설업 주가지수,수영구,0.8599588853722555,0.0020703574002238767,1,0.7182627518447897
건설업 주가지수,서구,0.9824841456283024,0.02209613096419405,1,0.8407880121008366
건설업 주가지수,동구,0.4693895315895667,0.03580544300267641,1,0.32769339806210096
건설업 주가지수,북구,0.8582617438375875,0.1516854343945495,0,0.7165656103101217
인구밀도,수영구,-0.005808826592527412,0.014537003970741091,1,-0.004114022552237282
인구밀도,북구,-0.003114438872698226,0.21376938276728397,0,-0.001419634832408096
인구밀도,기장군,-0.0027074009244404066,0.256515091394669,0,-0.0010125968841502766
인구밀도,금정구,-0.0023893388750392134,0.4020829464387081,0,-0.0006945348347490833
인구밀도,부산진구,-0.002219730784281832,0.40876653395578844,0,-0.0005249267439917018
인구밀도,동구,-0.002236753100513494,0.42020344848143987,0,-0.000541949060223364
인구밀도,남구,-0.00222631099212788,0.43924502315420866,0,-0.0005315069518377498
인구밀도,서구,-0.002013196280101041,0.4777872247072712,0,-0.00031839223981091095
인구밀도,연제구,0.0004372919485986247,0.5712399483846315,0,0.002132095988888755
인구밀도,중구,0.0003652482986712305,0.5737755855637539,0,0.0020600523389613604
인구밀도,사상구,-0.0015166404158391679,0.6567349663087012,0,0.00017816362445096214
인구밀도,영도구,4.186188368904644e-05,0.696225905734057,0,0.0017366659239791765
인구밀도,강서구,-0.0006809649681609791,0.713630533291929,0,0.001013839072129151
인구밀도,해운대구,-0.0012765573154613788,0.783520800276966,0,0.0004182467248287512
인구밀도,사하구,-0.00112177981375507,0.8242646606833881,0,0.0005730242265350599
인구밀도,동래구,-0.0006493278406548803,0.9869704532823047,0,0.0010454761996352498
전출대비전입,기장군,0.037738537248006576,0.0,1,-0.06296609003648546
전출대비전입,북구,-5.060039718339448,0.0,1,-5.16074434562394
전출대비전입,수영구,-2.812691308030648,0.0,1,-2.9133959353151404
전출대비전입,금정구,-2.25421675775475,5.910252287577578e-10,1,-2.3549213850392423
전출대비전입,영도구,-3.382094049875162,7.521434002288885e-07,1,-3.4827986771596544
전출대비전입,강서구,1.6143278604688502,2.4610629900667647e-06,1,1.5136232331843582
전출대비전입,서구,3.7736771495728814,0.0004461536617248463,1,3.672972522288389
전출대비전입,남구,-1.1191769788834,0.0005702443958297554,1,-1.219881606167892
전출대비전입,사상구,-0.43601449508880075,0.013467313634855538,1,-0.5367191223732928
전출대비전입,연제구,2.712226784834687,0.014476608491860832,1,2.611522157550195
전출대비전입,동구,0.7356766614859471,0.03967563500360116,1,0.6349720342014551
전출대비전입,중구,0.8533647318597251,0.1984922886668785,0,0.752660104575233
전출대비전입,해운대구,2.8168633610853187,0.23916960357311345,0,2.7161587338008264
전출대비전입,동래구,1.15898595027966,0.28675702719794294,0,1.058281322995168
전출대비전입,사하구,1.2433094190163652,0.6040184614843467,0,1.1426047917318731
전출대비전입,부산진구,1.7293368886726408,0.8485949050920216,0,1.6286322613881488
